algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	insert	random	N-t65b11xx_250	250	16780305	2.858001	5.24349
II	first	insert	random	N-t65d11xx_150	150	3511088	1.355839	0.385506
II	first	insert	random	N-t65d11xx_250	250	9087435	2.825808	5.08815
II	first	insert	random	N-t65f11xx_150	150	3077304	2.596187	0.399451
II	first	insert	random	N-t65f11xx_250	250	8253745	1.852913	5.09292
II	first	insert	random	N-t65l11xx_150	150	248920	1.766405	0.221439
II	first	insert	random	N-t65l11xx_250	250	653157	1.965767	3.09078
II	first	insert	random	N-t65n11xx_150	150	540462	1.864969	0.411517
II	first	insert	random	N-t65n11xx_250	250	1395804	2.347761	4.71438
II	first	insert	random	N-t69r11xx_150	150	11590407	2.239802	0.318929
II	first	insert	random	N-t69r11xx_250	250	31210160	1.903974	4.8531
II	first	insert	random	N-t70b11xx_150	150	9434392	2.206198	0.345354
II	first	insert	random	N-t70b11xx_250	250	25041550	1.423038	5.15773
II	first	insert	random	N-t70d11xn_150	150	5738585	1.486005	0.486279
II	first	insert	random	N-t70d11xn_250	250	14899122	2.024987	5.2739
II	first	insert	random	N-t70d11xx_150	150	6029183	2.348410	0.445775
II	first	insert	random	N-t70d11xx_250	250	15716652	2.019392	5.23924
II	first	insert	random	N-t70f11xx_150	150	5037388	2.188483	0.352701
II	first	insert	random	N-t70f11xx_250	250	13302080	2.090771	4.91349
II	first	insert	random	N-t70l11xx_150	150	426305	2.416553	0.219209
II	first	insert	random	N-t70l11xx_250	250	1082827	2.722149	3.38366
II	first	insert	random	N-t70n11xx_150	150	929342	2.062465	0.454744
II	first	insert	random	N-t70n11xx_250	250	2376681	2.769975	4.53677
II	first	insert	random	N-t74d11xx_150	150	9226556	1.803823	0.356071
II	first	insert	random	N-t74d11xx_250	250	23983218	1.829830	4.89047
II	first	insert	random	N-t75d11xx_150	150	9344694	3.084855	0.396734
II	first	insert	random	N-t75d11xx_250	250	24512916	2.015197	4.90981
II	first	insert	random	N-t75e11xx_150	150	40527132	2.509156	0.405316
II	first	insert	random	N-t75e11xx_250	250	103898406	2.784097	5.38519
II	first	insert	random	N-t75k11xx_150	150	1513972	1.791909	0.358081
II	first	insert	random	N-t75k11xx_250	250	3999380	2.307584	4.76391
II	first	insert	random	N-t75n11xx_150	150	1712107	1.777701	0.424668
II	first	insert	random	N-t75n11xx_250	250	4424908	2.210724	4.23854
II	first	insert	random	N-tiw56n54_150	150	825536	1.480885	0.385376
II	first	insert	random	N-tiw56n54_250	250	2055668	2.051626	4.95095
II	first	insert	random	N-tiw56n58_150	150	1133421	1.901606	0.378086
